model,query,rank,poi_id,name,type,city,relevant
LaBSE,Want to visit a museum,1,6061084594,Музей археологии Москвы,node,Москва,1
LaBSE,Want to visit a museum,2,288506766,Государственный Дарвиновский музей,node,Москва,1
LaBSE,Want to visit a museum,3,11018736690,Похищение Европы,node,Санкт-Петербург,1
LaBSE,Want to visit a museum,4,4774406424,Похищение Европы,node,Москва,1
LaBSE,Want to visit a museum,5,4811949281,Похищение Европы,node,Москва,1
LaBSE,Want to visit a museum,6,5223047818,Похищение Европы,node,Москва,1
LaBSE,Want to visit a museum,7,11178669083,Похищение Европы,node,Уфа,1
LaBSE,Want to visit a museum,8,2474529847,Памятник Майклу Джексону,node,Екатеринбург,0
LaBSE,Want to visit a museum,9,3325191509,Музей русской гармоники А. Мирека,node,Москва,1
LaBSE,Want to visit a museum,10,12154936086,Кабинет-музей Н. И. Вавилова,node,Санкт-Петербург,1
LaBSE,Looking for historical monuments,1,1280066306,"ДОТ ""Миллионер""",node,Санкт-Петербург,1
LaBSE,Looking for historical monuments,2,5752062653,Н. Д. Зелинскому,node,Санкт-Петербург,1
LaBSE,Looking for historical monuments,3,1727044678,Место часовни во имя Серафима Саровского,node,Санкт-Петербург,1
LaBSE,Looking for historical monuments,4,1655764478,Аллея Памяти воинов-уральцев,node,Екатеринбург,1
LaBSE,Looking for historical monuments,5,891629579,могила архиепископа Никифора Феотокиса,node,Москва,1
LaBSE,Looking for historical monuments,6,4350034892,Похищение сабинянки,node,Санкт-Петербург,1
LaBSE,Looking for historical monuments,7,5467893088,А. Д. Салынскому,node,Москва,1
LaBSE,Looking for historical monuments,8,11516044734,АЗП-39,node,Санкт-Петербург,1
LaBSE,Looking for historical monuments,9,11345090239,Воинам-освободителям,node,Москва,1
LaBSE,Looking for historical monuments,10,5152025423,"Эскулап, легендарный врачеватель",node,Санкт-Петербург,0
LaBSE,Best art galleries nearby,1,7851370221,Стена радости,node,Москва,1
LaBSE,Best art galleries nearby,2,5057733049,А3,node,Москва,1
LaBSE,Best art galleries nearby,3,7676539087,МПД,node,Екатеринбург,1
LaBSE,Best art galleries nearby,4,3558564373,"Творческий центр ""Око""",node,Москва,1
LaBSE,Best art galleries nearby,5,7814389885,Выставка ParcArt,node,Санкт-Петербург,1
LaBSE,Best art galleries nearby,6,6511783385,Друзья,node,Екатеринбург,0
LaBSE,Best art galleries nearby,7,4123587890,Картинная галерея Гризайль,node,Москва,1
LaBSE,Best art galleries nearby,8,1948113538,Янтарная комната,node,Санкт-Петербург,1
LaBSE,Best art galleries nearby,9,11184203938,Добро пожаловать!,node,Санкт-Петербург,0
LaBSE,Best art galleries nearby,10,5527925431,Art4,node,Москва,1
LaBSE,Quiet parks for reading,1,5041512825,"Условные обозначения парка ""Дубки""",node,Санкт-Петербург,1
LaBSE,Quiet parks for reading,2,5641718540,Боскет «Птичий (зверовой) двор»,node,Санкт-Петербург,1
LaBSE,Quiet parks for reading,3,9630948438,"Детская лазалка ""Паутинка""",node,Екатеринбург,1
LaBSE,Quiet parks for reading,4,7637340685,Мира,node,Санкт-Петербург,1
LaBSE,Quiet parks for reading,5,7637340785,Мира,node,Санкт-Петербург,1
LaBSE,Quiet parks for reading,6,9800958604,Пакгаузы,node,Нижний Новгород,0
LaBSE,Quiet parks for reading,7,4357819089,Бенуарики у сада Бенуа,node,Санкт-Петербург,1
LaBSE,Quiet parks for reading,8,6052331254,Парк «Фили»,node,Москва,1
LaBSE,Quiet parks for reading,9,6050976998,Сквер им. Авдеева,node,Москва,1
LaBSE,Quiet parks for reading,10,3135946970,Хитрая скамейка,node,Санкт-Петербург,1
LaBSE,Local cuisine restaurants,1,10227932966,Как дома,node,Санкт-Петербург,1
LaBSE,Local cuisine restaurants,2,8353759717,Хорошая девочка,node,Москва,0
LaBSE,Local cuisine restaurants,3,1770434372,Перекрёсток джаза,node,Казань,1
LaBSE,Local cuisine restaurants,4,11594915080,Ваби Саби,node,Москва,1
LaBSE,Local cuisine restaurants,5,2285666504,Бакинский бульвар,node,Москва,1
LaBSE,Local cuisine restaurants,6,1728278423,Хорошее дело,node,Нижний Новгород,0
LaBSE,Local cuisine restaurants,7,1544306780,Огонёк,node,Уфа,1
LaBSE,Local cuisine restaurants,8,10310798742,Восточный двор,node,Санкт-Петербург,1
LaBSE,Local cuisine restaurants,9,4804794308,"Культурно-деловой центр молодёжи ""Марьино""",node,Москва,0
LaBSE,Local cuisine restaurants,10,5789986571,Калашный ряд,node,Санкт-Петербург,0
LaBSE,Cozy cafes for work,1,9915035218,Люблю кофе,node,Екатеринбург,1
LaBSE,Cozy cafes for work,2,9415111567,Здрасте кофе,node,Москва,1
LaBSE,Cozy cafes for work,3,6030605798,Какао для Алисы,node,Москва,1
LaBSE,Cozy cafes for work,4,10121446069,Кофилин,node,Санкт-Петербург,1
LaBSE,Cozy cafes for work,5,9995590646,Кофешефф,node,Москва,1
LaBSE,Cozy cafes for work,6,11843754146,Cofix,node,Москва,1
LaBSE,Cozy cafes for work,7,3214920426,Cofix,node,Москва,1
LaBSE,Cozy cafes for work,8,7437473684,Jeffrey's Coffee,node,Москва,1
LaBSE,Cozy cafes for work,9,4229617692,Кофе Хауз,node,Москва,1
LaBSE,Cozy cafes for work,10,2451930641,Кофемания,node,Москва,1
LaBSE,Scenic walking routes,1,12148711294,"Веломаршрут ""Зелёное кольцо""",node,Москва,1
LaBSE,Scenic walking routes,2,12736660549,"Веломаршрут ""Зелёное кольцо""",node,Москва,1
LaBSE,Scenic walking routes,3,12736673776,"Веломаршрут ""Зелёное кольцо""",node,Москва,1
LaBSE,Scenic walking routes,4,12736724474,"Веломаршрут ""Зелёное кольцо""",node,Москва,1
LaBSE,Scenic walking routes,5,12557504755,Улица Юности,node,Москва,1
LaBSE,Scenic walking routes,6,8002372982,Калиновка Trail bike park,node,Екатеринбург,1
