model,query,rank,poi_id,name,type,city,relevant
MiniLM-6-L12,Want to visit a museum,1,7794915044,Movie Art,node,Санкт-Петербург,0
MiniLM-6-L12,Want to visit a museum,2,3350346072,"Политехнический музей, открытые фонды",node,Москва,1
MiniLM-6-L12,Want to visit a museum,3,6044197631,Трансферум,node,Санкт-Петербург,0
MiniLM-6-L12,Want to visit a museum,4,1438259722,Музей истории религии,node,Санкт-Петербург,1
MiniLM-6-L12,Want to visit a museum,5,12889776701,СВОи,node,Казань,0
MiniLM-6-L12,Want to visit a museum,6,12086701012,Серебряный век,node,Москва,0
MiniLM-6-L12,Want to visit a museum,7,4579193209,Городская панорама,node,Казань,1
MiniLM-6-L12,Want to visit a museum,8,3634704049,Развитие 1703-2013,node,Санкт-Петербург,1
MiniLM-6-L12,Want to visit a museum,9,2758278217,Музей книги,node,Москва,1
MiniLM-6-L12,Want to visit a museum,10,2181181342,Музей художественного стекла,node,Санкт-Петербург,1
MiniLM-6-L12,Looking for historical monuments,1,1280512167,Городам-героям,node,Москва,1
MiniLM-6-L12,Looking for historical monuments,2,8425694570,Алексей Николаевич,node,Санкт-Петербург,1
MiniLM-6-L12,Looking for historical monuments,3,1104343613,Орджоникидзе,node,Нижний Новгород,0
MiniLM-6-L12,Looking for historical monuments,4,10123616731,Артему Айдинову,node,Казань,1
MiniLM-6-L12,Looking for historical monuments,5,12453398323,76 лет Победы,node,Уфа,1
MiniLM-6-L12,Looking for historical monuments,6,6900993014,Работникам ЭК НКПС,node,Москва,1
MiniLM-6-L12,Looking for historical monuments,7,4958876865,Л. И. Гайдаю,node,Москва,1
MiniLM-6-L12,Looking for historical monuments,8,2820047720,"А. Володину, А. Вампилову, В. Розову",node,Москва,1
MiniLM-6-L12,Looking for historical monuments,9,4149631735,Пионерам,node,Москва,1
MiniLM-6-L12,Looking for historical monuments,10,1777073235,Памяти поколений,node,Санкт-Петербург,1
MiniLM-6-L12,Best art galleries nearby,1,9689335900,Печатники,node,Москва,0
MiniLM-6-L12,Best art galleries nearby,2,3154464170,Ural Vision Gallery,node,Екатеринбург,1
MiniLM-6-L12,Best art galleries nearby,3,5856250877,25 кадр,node,Москва,0
MiniLM-6-L12,Best art galleries nearby,4,11279466829,R,node,Екатеринбург,0
MiniLM-6-L12,Best art galleries nearby,5,11279466832,R,node,Екатеринбург,0
MiniLM-6-L12,Best art galleries nearby,6,4925298349,NameGallery,node,Санкт-Петербург,1
MiniLM-6-L12,Best art galleries nearby,7,11279466831,A,node,Екатеринбург,0
MiniLM-6-L12,Best art galleries nearby,8,5677291322,Семья,node,Санкт-Петербург,0
MiniLM-6-L12,Best art galleries nearby,9,12058949509,Семья,node,Уфа,0
MiniLM-6-L12,Best art galleries nearby,10,8839210849,ArtGallery,node,Санкт-Петербург,1
MiniLM-6-L12,Places with panoramic views,1,5026362371,Видовой холм,node,Москва,1
MiniLM-6-L12,Places with panoramic views,2,1586975009,Вид на дом Капустина,node,Санкт-Петербург,1
MiniLM-6-L12,Places with panoramic views,3,2197612079,Семимостье,node,Санкт-Петербург,1
MiniLM-6-L12,Places with panoramic views,4,4790156039,Обзор на город,node,Санкт-Петербург,1
MiniLM-6-L12,Places with panoramic views,5,12271139201,Выше только любовь,node,Москва,1
MiniLM-6-L12,Places with panoramic views,6,4142875327,Небо,node,Москва,1
MiniLM-6-L12,Places with panoramic views,7,11149377805,Обзор Ореховских склонов,node,Москва,1
MiniLM-6-L12,Places with panoramic views,8,9768190671,Лошадинка,node,Казань,0
MiniLM-6-L12,Places with panoramic views,9,3721345998,Арарат,node,Москва,1
MiniLM-6-L12,Places with panoramic views,10,12643778468,Северное сияние,node,Москва,1
MiniLM-6-L12,Quiet parks for reading,1,6357052648,Библиотека семейного чтения им. И. В. Зуева,node,Нижний Новгород,0
MiniLM-6-L12,Quiet parks for reading,2,6555758593,Центр Британской книги,node,Санкт-Петербург,0
MiniLM-6-L12,Quiet parks for reading,3,10238025895,Библиотека №224,node,Москва,0
MiniLM-6-L12,Quiet parks for reading,4,3066710581,Библиотека,node,Санкт-Петербург,0
MiniLM-6-L12,Quiet parks for reading,5,5311949403,Библиотека Семейного Чтения,node,Санкт-Петербург,0
MiniLM-6-L12,Quiet parks for reading,6,1216512015,Библиотека №240,node,Москва,0
MiniLM-6-L12,Quiet parks for reading,7,10025595793,На Тверской,node,Санкт-Петербург,1
MiniLM-6-L12,Quiet parks for reading,8,782216732,Библиотека,node,Москва,0
