query,rank,poi_id,name,type,city,relevant
Want to visit a museum,1,12765977798,Братская могила жертв революции 1905 года,node,Казань,0
Want to visit a museum,2,12803628465,Московский музей Рахманинова,node,Москва,1
Want to visit a museum,3,5205110874,Все свободны,node,Санкт-Петербург,0
Want to visit a museum,4,1295102291,Музейно-выставочный центр Петербургский Художник,node,Санкт-Петербург,1
Want to visit a museum,5,12451669493,Музей кино,node,Москва,1
Want to visit a museum,6,10592166414,Выставочный зал Объединения московских скульпторов,node,Москва,1
Want to visit a museum,7,4991870185,Арт Виктория,node,Нижний Новгород,1
Want to visit a museum,8,682347591,Толстый фраер,node,Санкт-Петербург,0
Want to visit a museum,9,2032405389,Музей этнологии и географии,node,Уфа,1
Want to visit a museum,10,2549226782,Продукты,node,Санкт-Петербург,0
Looking for historical monuments,1,10902514311,Rich Shoes,node,Казань,0
Looking for historical monuments,2,6666962585,Station K43,node,Санкт-Петербург,0
Looking for historical monuments,3,1770434372,Перекрёсток джаза,node,Казань,0
Looking for historical monuments,4,8960216638,Villa Verde,node,Санкт-Петербург,0
Looking for historical monuments,5,5998564863,Greenbox,node,Санкт-Петербург,0
Looking for historical monuments,6,3526774271,Харбин,node,Москва,0
Looking for historical monuments,7,4163702191,Duck & Drake,node,Санкт-Петербург,0
Looking for historical monuments,8,1808422815,Пиано,node,Нижний Новгород,1
Looking for historical monuments,9,6815252185,Дорога Жизни 7/6,node,Санкт-Петербург,0
Looking for historical monuments,10,10673330530,Baggins Coffee,node,Санкт-Петербург,0
Best art galleries nearby,1,4350034894,Amo cucinare,node,Санкт-Петербург,0
Best art galleries nearby,2,11789716100,Карета,node,Санкт-Петербург,0
Best art galleries nearby,3,4635492306,На ход ноги,node,Санкт-Петербург,0
Best art galleries nearby,4,10592166414,Выставочный зал Объединения московских скульпторов,node,Москва,1
Best art galleries nearby,5,12765977798,Братская могила жертв революции 1905 года,node,Казань,1
Best art galleries nearby,6,1808680312,Зоологический музей,node,Нижний Новгород,0
Best art galleries nearby,7,5205110874,Все свободны,node,Санкт-Петербург,0
Best art galleries nearby,8,4991870185,Арт Виктория,node,Нижний Новгород,1
Best art galleries nearby,9,7988412241,Salut V,node,Санкт-Петербург,0
Best art galleries nearby,10,3727984252,Клеопатра,node,Москва,0
Places with panoramic views,1,10776389033,Христианская традиция,node,Санкт-Петербург,0
Places with panoramic views,2,4031884148,Janita,node,Москва,0
Places with panoramic views,3,11811990770,Алкмаркет,node,Санкт-Петербург,0
Places with panoramic views,4,8300624543,Кони,node,Москва,0
Places with panoramic views,5,4911875121,Автостекло,node,Екатеринбург,0
Places with panoramic views,6,923876235,Магнит,node,Москва,0
Places with panoramic views,7,11884679102,La Catrina,node,Санкт-Петербург,0
Places with panoramic views,8,617306016,Центральная библиотека №35,node,Москва,0
Places with panoramic views,9,11149377705,Обзор реки,node,Москва,0
Places with panoramic views,10,4046035327,Местный,node,Санкт-Петербург,0
Quiet parks for reading,1,4813291699,Стена с барельефами,node,Москва,1
Quiet parks for reading,2,10838671120,Уе! Бар,node,Санкт-Петербург,0
Quiet parks for reading,3,10821988179,Детская библиотека №44,node,Уфа,1
Quiet parks for reading,4,5847224169,М. А. Балакиреву,node,Санкт-Петербург,1
Quiet parks for reading,5,11077318721,Библиотека умного города,node,Москва,1
